"0BRR" "0BRR_lci" "0BRR_uci" "1BRR" "1BRR_lci" "1BRR_uci"
"TOTage" 1.02526838519226 1.0070676614853 1.0070676614853 1.01704314465365 0.999547841416335 0.999547841416335
"CVDage" 1.0502890458401 1.01867451554372 1.01867451554372 1.0446340463373 1.0136311209985 1.0136311209985
"MIage" 1.14721998502347 1.07261830580286 1.07261830580286 1.09206719863607 1.02654577234746 1.02654577234746
"strokeage" 1.08832130963569 1.02218454984615 1.02218454984615 1.04650065648832 0.986252854308862 0.986252854308862
"TOT1865age" 1.04304240568505 1.00589858560261 1.00589858560261 1.06129470240335 1.02625584174103 1.02625584174103
"CVD1865age" 1.01800691613637 0.943442750662174 0.943442750662174 1.05618256738424 0.987468540745107 0.987468540745107
"MI1865age" 1.10611797773388 0.938906571468102 0.938906571468102 1.20210562694402 1.04059445388641 1.04059445388641
"stroke1865age" 1.18182601167668 0.950387590950953 0.950387590950953 1.25895575963346 1.03349246128861 1.03349246128861
"TOT6585age" 1.04268953950715 1.01786968122164 1.01786968122164 1.03232317004592 1.00811540904652 1.00811540904652
"CVD6585age" 1.07358604194432 1.02656578098384 1.02656578098384 1.06412219101641 1.01920884286268 1.01920884286268
"MI6585age" 1.19348544265423 1.08709823377204 1.08709823377204 1.12564241964002 1.03525676761327 1.03525676761327
"stroke6585age" 1.07316526863931 0.977009053092787 0.977009053092787 1.03814265011159 0.956872077258524 0.956872077258524
"TOT85age" 0.996946175418087 0.969473180163415 0.969473180163415 0.996567935933647 0.969875052551375 0.969875052551375
"CVD85age" 1.03901901313326 0.993176308580749 0.993176308580749 1.03303693063591 0.990126892218675 0.990126892218675
"MI85age" 1.11182152202723 0.995611054977808 0.995611054977808 1.0364675793513 0.937354830239264 0.937354830239264
"stroke85age" 1.08409893715308 0.991469987716905 0.991469987716905 1.02728738140257 0.946240366091627 0.946240366091627
