"0ARR" "0ARR_lci" "0ARR_uci" "1ARR" "1ARR_lci" "1ARR_uci"
"TOTage" 1.03974305470438 1.02122731626244 1.02122731626244 1.03076298278209 1.01251628125649 1.01251628125649
"CVDage" 1.06930527303769 1.0368848935979 1.0368848935979 1.0659108538323 1.03375968627901 1.03375968627901
"MIage" 1.15660391017028 1.08065829355191 1.08065829355191 1.11088475729478 1.03786297241388 1.03786297241388
"strokeage" 1.10548116882171 1.03761845298875 1.03761845298875 1.06971679600538 1.00746865092832 1.00746865092832
"TOT1865age" 1.05361559026796 1.01578552036236 1.01578552036236 1.07387873106559 1.03547907622064 1.03547907622064
"CVD1865age" 1.03565120910613 0.959170664517533 0.959170664517533 1.08346648489127 1.0140518345659 1.0140518345659
"MI1865age" 1.12233483348656 0.951417390568443 0.951417390568443 1.22502156493851 1.06499137024477 1.06499137024477
"stroke1865age" 1.17540267938157 0.944022024306922 0.944022024306922 1.24110482131081 1.02524195012762 1.02524195012762
"TOT6585age" 1.05598832535622 1.03066692117386 1.03066692117386 1.04511100673779 1.01972657474518 1.01972657474518
"CVD6585age" 1.08673497137803 1.0386440170094 1.0386440170094 1.08002481651371 1.03456754702588 1.03456754702588
"MI6585age" 1.20621424501135 1.09764718326498 1.09764718326498 1.15396766112334 1.05784073834784 1.05784073834784
"stroke6585age" 1.08457239717829 0.986286826388636 0.986286826388636 1.06049949686195 0.974784020284229 0.974784020284229
"TOT85age" 1.01396023323612 0.985795586124964 0.985795586124964 1.01292640839203 0.985226663643931 0.985226663643931
"CVD85age" 1.06223841113642 1.01488837988375 1.01488837988375 1.05910594601344 1.01366247342867 1.01366247342867
"MI85age" 1.11269137318262 0.995111613137421 0.995111613137421 1.0537945523524 0.953059979548261 0.953059979548261
"stroke85age" 1.10982569073585 1.01395895403994 1.01395895403994 1.06311301849237 0.980685409643261 0.980685409643261
