"0BRR" "0BRR_lci" "0BRR_uci" "1BRR" "1BRR_lci" "1BRR_uci"
"TOTage" 1.02526838519227 1.00706766148531 1.04379805039555 1.0170431446474 0.999346951901404 1.03505269727016
"CVDage" 1.05028904584009 1.01867451554371 1.08288473205095 1.04463404633513 1.01344576676962 1.07678212938905
"MIage" 1.14721998502345 1.07261830580284 1.22701028587435 1.09206719862064 1.02582432269154 1.16258772571699
"strokeage" 1.08832130963569 1.02218454984615 1.15873720962171 1.04650065648973 0.98795394350678 1.10851688100573
"TOT1865age" 1.04304240568503 1.00589858560258 1.08155779879687 1.06129470242526 1.02494179646923 1.09893698283749
"CVD1865age" 1.01800691613635 0.943442750662154 1.09846419464678 1.05618256735512 0.985448894999883 1.13199336997074
"MI1865age" 1.10611797773388 0.938906571468103 1.30310833670383 1.20210562641024 1.04111666716424 1.38798847681803
"stroke1865age" 1.18182601167668 0.950387590950961 1.46962432503781 1.25895575962788 1.040736297894 1.52293103248873
"TOT6585age" 1.04268953950714 1.01786968122163 1.06811460824018 1.03232317001129 1.00809534978653 1.05713326380071
"CVD6585age" 1.07358604194433 1.02656578098384 1.12275999337623 1.06412219101786 1.01905019311235 1.1111876972009
"MI6585age" 1.19348544265429 1.08709823377209 1.31028407330328 1.1256424196395 1.0341680425158 1.2252079012319
"stroke6585age" 1.0731652686393 0.977009053092775 1.1787850789795 1.03814264790681 0.955842802991214 1.12752866269463
"TOT85age" 0.996946175418094 0.969473180163423 1.02519770223373 0.996567935933683 0.969355820272883 1.02454396018537
"CVD85age" 1.03901901313327 0.993176308580753 1.08697771012593 1.0330369306359 0.989410930677486 1.0785865275684
"MI85age" 1.11182152202721 0.995611054977798 1.24159639516104 1.03646757978747 0.93950452571712 1.1434378595787
"stroke85age" 1.08409893715308 0.991469987716907 1.1853818270816 1.02728738141367 0.944408909293909 1.11743901780931
