"0PMRR" "0PMRR_lci" "0PMRR_uci" "1PMRR" "1PMRR_lci" "1PMRR_uci"
"TOTage" 1.08936967254371 1.07090662034001 1.10815103849223 1.06606463585221 1.04870216676462 1.08371456056101
"CVDage" 1.11017974456805 1.07758121543482 1.14376443055556 1.08348239526012 1.0536817036202 1.11412592323208
"MIage" 1.03618914214377 0.969909848261116 1.10699766604245 1.05593451271124 0.998896369077285 1.11622960063884
"strokeage" 1.09171369532608 1.02664711826513 1.16090404517625 1.08060922575147 1.02494850569081 1.13929264962649
"TOT1865age" 1.06546934263715 1.02939586128423 1.10280695968933 1.04083539862357 1.00995871903154 1.07265604683993
"CVD1865age" 1.12474019300148 1.04583335697081 1.20960045242496 1.09108062914422 1.03172657144874 1.15384925835741
"MI1865age" 1.09912455476066 0.937971109200369 1.28796588192115 1.04593423880155 0.938615755676703 1.16552319229786
"stroke1865age" 0.93691739745603 0.762303829363939 1.15152800739336 0.91702918813883 0.803756636778895 1.04626511734782
"TOT6585age" 1.07996191045567 1.05474189677833 1.10578496179731 1.05363571432684 1.03045689537523 1.0773359113685
"CVD6585age" 1.07069581373134 1.02376639594321 1.11977647448139 1.04899844265035 1.00864008101128 1.09097164925231
"MI6585age" 1.04903710295577 0.955310088299657 1.15195982629742 1.08039327026434 1.00521870080248 1.16118971672597
"stroke6585age" 1.05828494208506 0.963046524796385 1.16294175806384 1.07407296831939 0.998612509655366 1.15523561954231
"TOT85age" 1.10515005631748 1.0766076583924 1.13444915374489 1.0769751236261 1.05033803242169 1.10428774461798
"CVD85age" 1.12858034927111 1.08056026127374 1.17873444953408 1.09634962269383 1.05339533458633 1.14105545725899
"MI85age" 0.989505960055091 0.889451218568849 1.10081590147235 1.05770782609087 0.971604641471013 1.15144143782607
"stroke85age" 1.13921197041558 1.04499660894111 1.24192165068671 1.12656427595143 1.04750844552982 1.21158647767087
