"","RR","lowCI","highCI","mod","cause","exposures","age_group"
"1",1.03974305470438,1.02122731626244,1.02122731626244,"Differences in differences","TOT","beta radiation + PM[2.5]","18+"
"2",1.06930527303769,1.0368848935979,1.0368848935979,"Differences in differences","CVD","beta radiation + PM[2.5]","18+"
"3",1.15660391017028,1.08065829355191,1.08065829355191,"Differences in differences","MI","beta radiation + PM[2.5]","18+"
"4",1.10548116882171,1.03761845298875,1.03761845298875,"Differences in differences","stroke","beta radiation + PM[2.5]","18+"
"5",1.05361559026796,1.01578552036236,1.01578552036236,"Differences in differences","TOT","beta radiation + PM[2.5]","18-65"
"6",1.03565120910613,0.959170664517533,0.959170664517533,"Differences in differences","CVD","beta radiation + PM[2.5]","18-65"
"7",1.12233483348656,0.951417390568443,0.951417390568443,"Differences in differences","MI","beta radiation + PM[2.5]","18-65"
"8",1.17540267938157,0.944022024306922,0.944022024306922,"Differences in differences","stroke","beta radiation + PM[2.5]","18-65"
"9",1.05598832535622,1.03066692117386,1.03066692117386,"Differences in differences","TOT","beta radiation + PM[2.5]","65-85"
"10",1.08673497137803,1.0386440170094,1.0386440170094,"Differences in differences","CVD","beta radiation + PM[2.5]","65-85"
"11",1.20621424501135,1.09764718326498,1.09764718326498,"Differences in differences","MI","beta radiation + PM[2.5]","65-85"
"12",1.08457239717829,0.986286826388636,0.986286826388636,"Differences in differences","stroke","beta radiation + PM[2.5]","65-85"
"13",1.01396023323612,0.985795586124964,0.985795586124964,"Differences in differences","TOT","beta radiation + PM[2.5]","85+"
"14",1.06223841113642,1.01488837988375,1.01488837988375,"Differences in differences","CVD","beta radiation + PM[2.5]","85+"
"15",1.11269137318262,0.995111613137421,0.995111613137421,"Differences in differences","MI","beta radiation + PM[2.5]","85+"
"16",1.10982569073585,1.01395895403994,1.01395895403994,"Differences in differences","stroke","beta radiation + PM[2.5]","85+"
"17",1.03076298278209,1.01251628125649,1.01251628125649,"Mixed-effect","TOT","beta radiation + PM[2.5]","18+"
"18",1.0659108538323,1.03375968627901,1.03375968627901,"Mixed-effect","CVD","beta radiation + PM[2.5]","18+"
"19",1.11088475729478,1.03786297241388,1.03786297241388,"Mixed-effect","MI","beta radiation + PM[2.5]","18+"
"20",1.06971679600538,1.00746865092832,1.00746865092832,"Mixed-effect","stroke","beta radiation + PM[2.5]","18+"
"21",1.07387873106559,1.03547907622064,1.03547907622064,"Mixed-effect","TOT","beta radiation + PM[2.5]","18-65"
"22",1.08346648489127,1.0140518345659,1.0140518345659,"Mixed-effect","CVD","beta radiation + PM[2.5]","18-65"
"23",1.22502156493851,1.06499137024477,1.06499137024477,"Mixed-effect","MI","beta radiation + PM[2.5]","18-65"
"24",1.24110482131081,1.02524195012762,1.02524195012762,"Mixed-effect","stroke","beta radiation + PM[2.5]","18-65"
"25",1.04511100673779,1.01972657474518,1.01972657474518,"Mixed-effect","TOT","beta radiation + PM[2.5]","65-85"
"26",1.08002481651371,1.03456754702588,1.03456754702588,"Mixed-effect","CVD","beta radiation + PM[2.5]","65-85"
"27",1.15396766112334,1.05784073834784,1.05784073834784,"Mixed-effect","MI","beta radiation + PM[2.5]","65-85"
"28",1.06049949686195,0.974784020284229,0.974784020284229,"Mixed-effect","stroke","beta radiation + PM[2.5]","65-85"
"29",1.01292640839203,0.985226663643931,0.985226663643931,"Mixed-effect","TOT","beta radiation + PM[2.5]","85+"
"30",1.05910594601344,1.01366247342867,1.01366247342867,"Mixed-effect","CVD","beta radiation + PM[2.5]","85+"
"31",1.0537945523524,0.953059979548261,0.953059979548261,"Mixed-effect","MI","beta radiation + PM[2.5]","85+"
"32",1.06311301849237,0.980685409643261,0.980685409643261,"Mixed-effect","stroke","beta radiation + PM[2.5]","85+"
"33",1.02526838519226,1.0070676614853,1.0070676614853,"Differences in differences","TOT","only beta radiation","18+"
"34",1.0502890458401,1.01867451554372,1.01867451554372,"Differences in differences","CVD","only beta radiation","18+"
