"","RR","RR_lci","RR_uci"
"TOT",1.01617004629951,0.994625383617975,1.03818138970095
"TOT",1.04624764821098,1.02672704014726,1.06613939107905
"TOT",1.09002877714884,1.07152773667648,1.10884925732102
"CVD",1.02603409855601,0.98790011063413,1.06564009869771
"CVD",1.06126535697964,1.02656885565679,1.09713454847073
"CVD",1.1128327611519,1.07988589032502,1.14678482734896
"MI",0.95328894413131,0.874904068210797,1.03869652002125
"MI",0.9891152905522,0.917475538540178,1.06634892910697
"MI",1.04175208040687,0.974155868318189,1.11403876148244
"stroke",0.994000762914888,0.918485846572653,1.07572426985376
"stroke",1.0342616770518,0.964977000842187,1.10852094473175
"stroke",1.09361475111286,1.02757431930765,1.16389948773483
